ID,SiteName,Lat,Long,Elevation,BAM,PM2.5,PM10,O3,SO2,NO2,Date,Environment,Region,Owner,Purpose,Half
4,Aberdeen-Division St,46.97228,-123.83173,1,N,N,N,N,N,N,8/16/2002,NA,Grays Harbor,ORCAA,Air Quality,Westside
141,Anacortes 202 O Avenue,48.52059,-122.61428,7,Y,Y,N,Y,Y,N,10/12/2011,Urban,Skagit,NWCAA,Air Quality,Westside
119,Anacortes-Bartholomew Rd,48.4654,-122.56,10,N,Y,N,N,Y,N,2/17/2009,Suburban,Skagit,NWCAA,Air Quality,Westside
196,Auburn M St SE,47.2875,-122.2144,4,Y,Y,N,N,N,N,1/19/2018,NA,King,PSCAA,Air Quality,Westside
190,Bellevue-SE 12th St,47.60086,-122.1484,92,N,Y,N,N,N,N,11/10/2016,NA,King,Ecology,Air Quality,Westside
195,Bellingham-Pacific St,48.76004,-122.45646,0,N,Y,N,N,N,N,1/1/2018,NA,Whatcom,NWCAA,Air Quality,Westside
151,Bremerton-Spruce Ave,47.59268,-122.62739,78,Y,Y,N,N,N,N,4/30/2012,Suburban,Kitsap,PSCAA,Air Quality,Westside
8,Burbank-Maple St,46.20011,-119.00862,111,N,N,Y,N,N,N,11/13/2006,Suburban,Walla Walla,Ecology,Air Quality,Eastside
9,Cheeka Peak,48.29786,-124.62491,478,N,Y,N,Y,Y,Y,11/13/2006,Rural,Clallam,ORCAA,Air Quality,Westside
126,Chehalis-Market Blvd,46.66409,-122.96732,72,N,Y,N,N,N,N,12/29/2009,Urban,Lewis,Ecology,Air Quality,Westside
10,Chelan-Woodin Ave,47.83861,-120.02306,327,N,Y,N,N,N,N,11/13/2006,NA,Chelan,USFS,Smoke Network,Eastside
11,Cheney-Turnbull,47.4164,-117.52982,691,Y,N,Y,Y,N,N,11/13/2006,Rural,Spokane,Ecology,Air Quality,Eastside
13,Clarkston-13th St,46.42542,-117.06045,250,N,Y,N,N,N,N,11/13/2006,Suburban,Asotin,Ecology,Air Quality,Eastside
155,Colbert-Greenbluff Rd,47.80823,-117.34327,577,N,Y,N,N,N,N,4/11/2013,Suburban,Spokane,SRCAA,Air Quality,Eastside
173,Colville-E 1st St,48.54469,-117.90322,488,N,Y,Y,N,N,N,11/2/2015,NA,Stevens,Ecology,Smoke Network,Eastside
15,Custer-Loomis,48.95074,-122.55441,5,N,Y,N,Y,Y,N,11/13/2006,Rural,Whatcom,NWCAA,Air Quality,Westside
16,Darrington-Fir St,48.2468,-121.6031,182,Y,Y,N,N,N,N,11/13/2006,Urban,Snohomish,PSCAA,Air Quality,Westside
116,Dayton-W Main St,46.318,-117.985,464,N,Y,N,N,N,N,11/7/2008,Rural,Columbia,Ecology,Air Quality,Eastside
17,Ellensburg-Ruby St,46.99364,-120.545,500,Y,Y,N,N,N,N,11/13/2006,Suburban,Kittitas,Ecology,Air Quality,Eastside
18,Enumclaw-Mud Mtn.,47.1411,-121.9379,402,N,N,N,Y,N,N,11/13/2006,Rural,King,Ecology,Air Quality,Westside
184,Ferndale-Kickerville Road,48.85527,-122.7047,0,N,N,N,N,Y,N,7/28/2016,NA,Whatcom,ALCOA,Air Quality,Westside
188,Ferndale-Mountain View Rd,48.84807,-122.68889,36,N,N,N,N,Y,N,9/6/2016,NA,Whatcom,ALCOA,Air Quality,Westside
19,Issaquah-Lake Sammamish,47.5525,-122.06472,15,N,N,N,Y,N,N,11/14/2006,Suburban,King,Ecology,Air Quality,Westside
20,Kennewick-Metaline,46.21835,-119.20152,162,Y,Y,Y,N,N,N,11/14/2006,Suburban,Benton,BCAA,Air Quality,Eastside
167,Kennewick-S Clodfelter Rd,46.20458,-119.24374,162,N,N,N,Y,N,N,6/10/2015,NA,Benton,BCAA,Air Quality,Eastside
2,Kent-Central & James,47.38614,-122.23195,14,Y,Y,N,N,N,N,8/23/2006,Urban,King,PSCAA,Air Quality,Westside
21,LaCrosse-Hill St,46.8153,-117.8739,468,N,N,N,N,N,N,6/1/2008,Rural,Whitman,Ecology,Smoke Network,Eastside
1,Lacey-College St,47.0294,-122.82155,70,N,Y,Y,Y,N,N,8/23/2006,Suburban,Thurston,ORCAA,Air Quality,Westside
23,Lake Forest Park-Town Center,47.75452,-122.28034,16,N,Y,N,N,N,N,11/14/2006,Suburban,King,PSCAA,Air Quality,Westside
24,Leavenworth-Evans St,47.5986,-120.6647,357,N,Y,N,N,N,N,11/14/2006,Urban,Chelan,USFS,Smoke Network,Eastside
25,Longview-30th Ave,46.13944,-122.96194,13,N,Y,N,N,N,N,11/14/2006,Suburban,Cowlitz,SWCAA,Air Quality,Westside
26,Lynnwood-212 (ULT),47.8064,-122.3167,99,N,N,N,N,N,N,11/14/2006,Suburban,Snohomish,PSCAA,Air Quality,Westside
189,Malaga-Malaga Hwy,47.33444,-120.0956,20,N,N,N,N,Y,N,11/15/2016,NA,Chelan,ALCOA,Air Quality,Eastside
143,Maple Falls - Azure Way,48.9477,-122.1471,50,N,Y,N,N,N,N,11/29/2011,Urban,Whatcom,NWCAA,Air Quality,Westside
27,Marysville-7th Ave,48.05432,-122.17153,2,Y,Y,N,N,N,N,11/14/2006,Suburban,Snohomish,PSCAA,Air Quality,Westside
29,Mesa-Pepiot Way,46.5754,-119.0021,224,N,Y,N,N,N,N,11/14/2006,Rural,Franklin,Ecology,Smoke Network,Eastside
191,Mobile-Pomeroy,46.47444,-117.61476,549,N,Y,N,N,N,N,5/4/2017,Suburban,Garfield,Ecology,Air Quality,Eastside
