"","Site.Num","County.Name","Datum","Longitude","Latitude"
"2635810",11,"Chelan","WGS84",-120.34195,47.43061
"2643466",23,"Clark","WGS84",-122.5901,45.64987
"2650548",24,"Clark","WGS84",-122.58737,45.64336
"2650711",30,"King","WGS84",-122.319722,47.597222
"2655864",57,"King","WGS84",-122.338265,47.55975
"2660489",80,"King","WGS84",-122.308628,47.568236
"2669172",2004,"King","WGS84",-122.230278,47.386111
"2676665",7,"Kitsap","WGS84",-122.627397,47.592675
"2685253",29,"Pierce","WGS84",-122.4517,47.1864
"2693266",11,"Skagit","WGS84",-122.61428,48.52059
"2701516",5,"Snohomish","WGS84",-122.3167,47.8064
"2718209",20,"Snohomish","WGS84",-121.6031,48.2469
"2726508",1007,"Snohomish","WGS84",-122.171529,48.054315
"2743590",21,"Spokane","WGS84",-117.364852,47.672482
"2749093",15,"Whatcom","WGS84",-122.44028,48.76278
"2757033",9,"Yakima","WGS84",-120.499167,46.598056
"2902829",2,"Kittitas","WGS84",-120.545,46.99364
"3316298",13,"Okanogan","WGS84",-119.51896,48.39999
"3317955",24,"Pierce","WGS84",-122.46256,47.22634
"3399861",15,"Yakima","WGS84",-120.33266,46.38024
"4531868",47,"Spokane","WGS84",-117.42635,47.69978
"4533328",5,"Stevens","WGS84",-117.903425,48.544448
"4534789",19,"Whatcom","NAD83",-122.456463,48.760036
"2292065",13,"Clark","WGS84",-122.586944,45.648333
"1564634",5,"Snohomish","WGS84",-122.3167,47.8064
"1572690",20,"Snohomish","WGS84",-121.6031,48.2469
"1581257",1007,"Snohomish","WGS84",-122.171529,48.054315
